Innings Bowled,Runs Conceded,Economy,Average,Strike Rate,Wickets,4 Wickets,5 Wickets,Player
8,202,8.595744681,40.4,28.2,5,0,0,Deepak Chahar
13,424,8.833333333,24.94117647,16.94117647,17,1,0,Tushar Deshpande
5,144,7.2,72,60,2,0,0,Maheesh Theekshana
9,317,9.188405797,22.64285714,14.78571429,14,1,0,Mustafizur Rahman
14,369,7.85106383,46.125,35.25,8,0,0,Ravindra Jadeja
14,496,9.185185185,33.06666667,21.6,15,0,0,Mohammed Siraj
14,458,9.099337748,30.53333333,20.13333333,15,0,0,Yash Dayal
3,115,11.89655172,115,58,1,0,0,Alzarri Joseph
9,254,10.58333333,36.28571429,20.57142857,7,0,0,Karn Sharma
5,120,10.14084507,120,71,1,0,0,Mayank Dagar
13,303,8.616113744,30.3,21.1,10,0,0,Cameron Green
6,129,8.0625,21.5,16,6,0,0,Glenn Maxwell
13,416,10.14634146,26,15.375,16,0,0,Sam Curran
14,505,10.03311258,26.57894737,15.89473684,19,1,0,Arshdeep Singh
11,372,8.857142857,33.81818182,22.90909091,11,0,0,Kagiso Rabada
13,303,7.973684211,43.28571429,32.57142857,7,0,0,Harpreet Brar
9,279,9,27.9,18.6,10,0,0,Rahul Chahar
14,477,9.734693878,19.875,12.25,24,0,0,Harshal Patel
14,479,9.58,28.17647059,17.64705882,17,0,0,Khaleel Ahmed
9,265,9.814814815,26.5,16.2,10,0,0,Ishant Sharma
3,103,12.875,103,48,1,0,0,Mitchell Marsh
14,337,7.659090909,30.63636364,24,11,0,0,Axar Patel
11,372,8.651162791,23.25,16.125,16,1,0,Kuldeep Yadav
2,38,11.4,0,0,0,0,0,Sumit Kumar
16,533,9.350877193,48.45454545,31.09090909,11,0,0,Bhuvneshwar Kumar
3,129,12.9,129,60,1,0,0,Marco Jansen
14,465,9.058441558,24.47368421,16.21052632,19,1,0,T Natarajan
16,566,9.278688525,31.44444444,20.33333333,18,0,0,Pat Cummins
7,259,11.77272727,32.375,16.5,8,0,0,Mayank Markande
15,270,9.818181818,38.57142857,23.57142857,7,0,0,Shahbaz Ahmed
13,444,10.61354582,26.11764706,14.76470588,17,1,0,Mitchell Starc
11,383,9.083003953,20.15789474,13.31578947,19,0,0,Harshit Rana
14,401,7.993355482,19.0952381,14.33333333,21,0,0,CV Varun
14,368,6.690909091,21.64705882,19.41176471,17,0,0,Sunil Narine
14,295,10.05681818,15.52631579,9.263157895,19,0,0,Andre Russell
2,51,12.75,0,0,0,0,0,Suyash Sharma
10,385,10.13157895,38.5,22.8,10,0,0,Mohsin Khan
10,372,10.19178082,26.57142857,15.64285714,14,0,0,Naveen-ul-Haq
12,255,7.727272727,42.5,33,6,0,0,Krunal Pandya
14,383,8.770992366,38.3,26.2,10,0,0,Ravi Bishnoi
10,402,11.32394366,36.54545455,19.36363636,11,0,1,Yash Thakur
2,25,12.5,0,0,0,0,0,Ayush Badoni
15,443,8.30625,27.6875,20,16,0,0,Trent Boult
5,145,8.529411765,20.71428571,14.57142857,7,0,0,Nandre Burger
14,467,8.490909091,51.88888889,36.66666667,9,0,0,Ravichandran Ashwin
15,526,9.592705167,27.68421053,17.31578947,19,0,0,Avesh Khan
15,546,9.413793103,30.33333333,19.33333333,18,0,0,Yuzvendra Chahal
10,311,8.184210526,23.92307692,17.53846154,13,0,1,Suyash Sharma
12,387,10.75,35.18181818,19.63636364,11,0,0,Hardik Pandya
2,93,15.5,93,36,1,0,0,Luke Wood
13,336,6.482315113,16.8,15.55,20,0,1,Jasprit Bumrah
2,57,11.4,0,0,0,0,0,Shams Mulani
11,312,8.914285714,24,16.15384615,13,0,0,Piyush Chawla
3,55,11.78571429,0,0,0,0,0,Naman Dhir
10,341,10.17910448,26.23076923,15.46153846,13,1,0,Gerald Coetzee
7,186,8.857142857,46.5,31.5,4,0,0,Azmatullah Omarzai
7,210,10,26.25,15.75,8,0,0,Umesh Yadav
12,367,8.404580153,36.7,26.2,10,0,0,Rashid Khan
5,137,9.133333333,19.57142857,12.85714286,7,1,0,Ravisrinivasan Sai Kishore
5,151,9.4375,37.75,24,4,0,0,Spencer Johnson
11,425,10.8974359,32.69230769,18,13,0,0,Mohit Sharma
2,70,11.66666667,70,36,1,0,0,Daryl Mitchell
6,169,7.681818182,13,10.15384615,13,1,0,Matheesha Pathirana
2,89,14.83333333,89,36,1,0,0,Kwena Maphaka
11,319,10.23529412,39.875,23.375,8,0,0,Jaydev Unadkat
1,15,15,0,0,0,0,0,Umran Malik
10,368,10.36619718,21.64705882,12.52941176,17,0,0,Mukesh Kumar
6,294,13.36363636,42,18.85714286,7,0,0,Anrich Nortje
3,60,10.58823529,0,0,0,0,0,Anukul Roy
4,142,9.793103448,35.5,21.75,4,0,0,Vijaykumar Vyshak
3,70,7.636363636,70,55,1,0,0,Manimaran Siddharth
4,85,6.98630137,12.14285714,10.42857143,7,0,0,Mayank Yadav
10,290,8.325358852,36.25,26.125,8,0,0,Noor Ahmad
3,45,9.310344828,15,9.666666667,3,0,0,Darshan Nalkande
2,73,14.6,73,30,1,0,0,Washington Sundar
8,269,10.97959184,29.88888889,16.33333333,9,0,0,Rasikh Dar Salam
5,205,11.28440367,41,21.8,5,0,0,Akash Madhwal
4,168,11.2,42,22.5,4,0,0,Reece Topley
7,126,9,31.5,21,4,0,0,Marcus Stoinis
10,275,9.116022099,25,16.45454545,11,0,0,Vaibhav Arora
1,28,28,0,0,0,0,0,Venkatesh Iyer
1,22,11,0,0,0,0,0,Sikandar Raza
4,51,7.285714286,25.5,21,2,0,0,Abhishek Sharma
1,27,27,0,0,0,0,0,Mukesh Choudhary
4,71,8.875,35.5,24,2,0,0,Moeen Ali
2,7,3.5,0,0,0,0,0,Rachin Ravindra
2,27,9,0,0,0,0,0,Riyan Parag
1,29,14.5,0,0,0,0,0,Himanshu Sharma
1,40,10,0,0,0,0,0,Jhye Richardson
2,56,18.66666667,0,0,0,0,0,Lalit Yadav
5,159,13.25,159,72,1,0,0,Romario Shepherd
6,109,8.837837838,54.5,37,2,0,0,Mohammad Nabi
9,309,9.757894737,61.8,38,5,0,0,Shardul Thakur
7,153,11.62025316,51,26.33333333,3,0,0,Nitish Kumar Reddy
2,39,6.5,19.5,18,2,0,0,Keshav Maharaj
3,122,10.16666667,20.33333333,12,6,0,0,Kuldeep Sen
3,67,9.571428571,22.33333333,14,3,0,0,Shreyas Gopal
1,55,15.71428571,55,21,1,0,0,Akash Deep
5,100,11.11111111,50,27,2,0,0,Will Jacks
3,90,11.02040816,90,49,1,0,0,Arshad Khan
4,84,7,28,24,3,0,0,Liam Livingstone
1,47,11.75,0,0,0,0,0,Shamar Joseph
1,24,12,0,0,0,0,0,Arshad Khan (2)
7,255,10.625,28.33333333,16,9,0,0,Lockie Ferguson
1,18,18,0,0,0,0,0,Mahipal Lomror
2,15,7.5,5,4,3,0,0,Tristan Stubbs
5,119,10.81818182,19.83333333,11,6,0,0,Sandeep Warrier
4,110,9.166666667,110,72,1,0,0,Matt Henry
2,15,7.5,0,0,0,0,0,Shahrukh Khan
7,257,9.884615385,32.125,19.5,8,0,0,Nuwan Thushara
